Generacion; best; promedio; cuartil3; max; min; quartil1
1.000000; 0.237196; 0.761463; 0.762307; 0.762804; 0.760964; 0.761195
2.000000; 0.234801; 0.762309; 0.762703; 0.765199; 0.761287; 0.762103
3.000000; 0.234801; 0.762908; 0.763169; 0.765199; 0.761374; 0.762637
4.000000; 0.234801; 0.763124; 0.763776; 0.765199; 0.762109; 0.762743
5.000000; 0.234375; 0.764200; 0.765199; 0.765625; 0.762504; 0.763310
6.000000; 0.234083; 0.765313; 0.765625; 0.765917; 0.763855; 0.765199
7.000000; 0.234083; 0.765625; 0.765693; 0.765917; 0.763350; 0.765607
8.000000; 0.234083; 0.765908; 0.765917; 0.765917; 0.763683; 0.765625
9.000000; 0.233830; 0.765917; 0.765917; 0.766170; 0.763221; 0.765908
10.000000; 0.233416; 0.765917; 0.765917; 0.766584; 0.765426; 0.765917
11.000000; 0.232791; 0.766084; 0.766584; 0.767209; 0.763757; 0.765917
12.000000; 0.232791; 0.766170; 0.766745; 0.767209; 0.763208; 0.766004
13.000000; 0.232493; 0.766831; 0.767182; 0.767507; 0.763604; 0.766738
14.000000; 0.232493; 0.767209; 0.767306; 0.767507; 0.764779; 0.766831
15.000000; 0.232234; 0.767507; 0.767507; 0.767766; 0.763702; 0.767306
16.000000; 0.232234; 0.767507; 0.767507; 0.767766; 0.763339; 0.767507
17.000000; 0.231830; 0.767507; 0.767507; 0.768170; 0.763851; 0.767507
18.000000; 0.231731; 0.767637; 0.768170; 0.768269; 0.763867; 0.767507
19.000000; 0.231291; 0.768170; 0.768170; 0.768709; 0.764232; 0.767665
20.000000; 0.231291; 0.768269; 0.768269; 0.768709; 0.764473; 0.768170
21.000000; 0.231291; 0.768709; 0.768709; 0.768709; 0.764081; 0.768170
22.000000; 0.231192; 0.768709; 0.768709; 0.768808; 0.765342; 0.768709
23.000000; 0.231192; 0.768709; 0.768709; 0.768808; 0.767919; 0.768709
24.000000; 0.231192; 0.768808; 0.768808; 0.768808; 0.765070; 0.768709
25.000000; 0.231192; 0.768808; 0.768808; 0.768808; 0.766798; 0.768709
26.000000; 0.230887; 0.768808; 0.768808; 0.769113; 0.765208; 0.768808
27.000000; 0.230887; 0.768808; 0.768808; 0.769113; 0.763748; 0.768808
28.000000; 0.230887; 0.768808; 0.769113; 0.769113; 0.765177; 0.768808
29.000000; 0.230887; 0.769113; 0.769113; 0.769113; 0.764679; 0.768808
30.000000; 0.230887; 0.769113; 0.769113; 0.769113; 0.765781; 0.769113
31.000000; 0.229236; 0.769113; 0.769113; 0.770764; 0.765606; 0.769113
32.000000; 0.229236; 0.769113; 0.769113; 0.770764; 0.764055; 0.769113
33.000000; 0.229236; 0.770764; 0.770764; 0.770764; 0.766801; 0.769113
34.000000; 0.229236; 0.770764; 0.770764; 0.770764; 0.764802; 0.770764
35.000000; 0.228647; 0.770764; 0.770764; 0.771353; 0.765339; 0.770764
36.000000; 0.228647; 0.770764; 0.770764; 0.771353; 0.765879; 0.770764
37.000000; 0.228647; 0.771209; 0.771353; 0.771353; 0.767138; 0.770262
38.000000; 0.228647; 0.771353; 0.771353; 0.771353; 0.765386; 0.771353
39.000000; 0.228647; 0.771353; 0.771353; 0.771353; 0.765665; 0.771353
40.000000; 0.228647; 0.771353; 0.771353; 0.771353; 0.765922; 0.771353
41.000000; 0.228647; 0.771353; 0.771353; 0.771353; 0.765606; 0.771353
42.000000; 0.228647; 0.771353; 0.771353; 0.771353; 0.766683; 0.771353
43.000000; 0.223285; 0.771353; 0.771353; 0.776715; 0.764683; 0.771353
44.000000; 0.223285; 0.771353; 0.771353; 0.776715; 0.767976; 0.771353
45.000000; 0.223285; 0.771353; 0.776715; 0.776715; 0.766623; 0.771353
46.000000; 0.223285; 0.776715; 0.776715; 0.776715; 0.767655; 0.771353
47.000000; 0.223285; 0.776715; 0.776715; 0.776715; 0.768712; 0.776715
48.000000; 0.223285; 0.776715; 0.776715; 0.776715; 0.764169; 0.776715
