Generacion; best; promedio; cuartil3; max; min; quartil1
1.000000; 0.237491; 0.761774; 0.761861; 0.762509; 0.760982; 0.761497
2.000000; 0.237228; 0.761948; 0.762509; 0.762772; 0.760763; 0.761805
3.000000; 0.236685; 0.762509; 0.762696; 0.763315; 0.761655; 0.762331
4.000000; 0.236685; 0.762772; 0.762844; 0.763315; 0.762029; 0.762540
5.000000; 0.236364; 0.762905; 0.763133; 0.763636; 0.762299; 0.762772
6.000000; 0.235481; 0.763238; 0.763428; 0.764519; 0.762243; 0.763052
7.000000; 0.235481; 0.763636; 0.763636; 0.764519; 0.762324; 0.763133
8.000000; 0.234740; 0.763636; 0.763830; 0.765260; 0.762445; 0.763315
9.000000; 0.234740; 0.764250; 0.764519; 0.765260; 0.762695; 0.763636
10.000000; 0.234639; 0.764636; 0.765260; 0.765361; 0.763372; 0.764435
11.000000; 0.232992; 0.765260; 0.765260; 0.767008; 0.764040; 0.764924
12.000000; 0.232992; 0.765361; 0.765361; 0.767008; 0.764180; 0.765260
13.000000; 0.232992; 0.765469; 0.766597; 0.767008; 0.764420; 0.765361
14.000000; 0.232319; 0.767008; 0.767008; 0.767681; 0.763698; 0.765469
15.000000; 0.232319; 0.767008; 0.767346; 0.767681; 0.764014; 0.767008
16.000000; 0.232319; 0.767346; 0.767346; 0.767681; 0.765466; 0.767008
17.000000; 0.232153; 0.767582; 0.767681; 0.767847; 0.765660; 0.767346
18.000000; 0.231751; 0.767681; 0.767681; 0.768249; 0.765346; 0.767485
19.000000; 0.231638; 0.767788; 0.767847; 0.768362; 0.764548; 0.767681
20.000000; 0.230639; 0.767847; 0.768249; 0.769361; 0.766024; 0.767847
21.000000; 0.230639; 0.768249; 0.768362; 0.769361; 0.766234; 0.768249
22.000000; 0.230639; 0.768424; 0.769361; 0.769361; 0.765511; 0.768362
23.000000; 0.230375; 0.769361; 0.769361; 0.769625; 0.765588; 0.769139
24.000000; 0.230375; 0.769361; 0.769361; 0.769625; 0.765414; 0.769361
25.000000; 0.229191; 0.769625; 0.769625; 0.770809; 0.768913; 0.769361
26.000000; 0.229191; 0.769625; 0.770270; 0.770809; 0.766134; 0.769625
27.000000; 0.229191; 0.770213; 0.770806; 0.770809; 0.766014; 0.769256
28.000000; 0.229191; 0.770806; 0.770809; 0.770809; 0.765294; 0.768721
29.000000; 0.229191; 0.770809; 0.770809; 0.770809; 0.766601; 0.770806
30.000000; 0.229191; 0.770809; 0.770809; 0.770809; 0.766052; 0.770809
31.000000; 0.229191; 0.770809; 0.770809; 0.770809; 0.767004; 0.770809
32.000000; 0.229191; 0.770809; 0.770809; 0.770809; 0.766984; 0.770809
33.000000; 0.229191; 0.770809; 0.770809; 0.770809; 0.766708; 0.770809
34.000000; 0.223148; 0.770809; 0.770809; 0.776852; 0.767848; 0.770809
35.000000; 0.223148; 0.770809; 0.770809; 0.776852; 0.764460; 0.770809
36.000000; 0.223148; 0.770809; 0.774412; 0.776852; 0.767788; 0.770809
37.000000; 0.223148; 0.776458; 0.776852; 0.776852; 0.765329; 0.770809
38.000000; 0.218176; 0.776852; 0.776852; 0.781824; 0.767082; 0.776852
39.000000; 0.218176; 0.776852; 0.776852; 0.781824; 0.768960; 0.776852
40.000000; 0.218176; 0.776852; 0.781824; 0.781824; 0.766390; 0.776852
41.000000; 0.198039; 0.781824; 0.781824; 0.801961; 0.771922; 0.776852
42.000000; 0.198039; 0.781824; 0.781824; 0.801961; 0.769856; 0.781824
43.000000; 0.198039; 0.781824; 0.801961; 0.801961; 0.768293; 0.781824
44.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.000000; 0.801961
45.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.767461; 0.801961
46.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.772543; 0.801961
47.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.768855; 0.801961
48.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.770736; 0.801961
49.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.771880; 0.801961
50.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.769499; 0.801961
51.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.770870; 0.801961
52.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.771325; 0.801961
53.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.770938; 0.801961
54.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.766423; 0.801961
55.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.773488; 0.801961
56.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.771833; 0.801961
57.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.770067; 0.801961
58.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.767919; 0.801961
59.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.769337; 0.801961
60.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.770678; 0.801961
61.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.769242; 0.801961
62.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.767756; 0.801961
63.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.771064; 0.801961
64.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.769496; 0.801961
65.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.774141; 0.801961
66.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.771796; 0.801961
67.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.767756; 0.801961
68.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.773323; 0.801961
69.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.770219; 0.801961
70.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.769243; 0.801961
71.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.767788; 0.801961
72.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.768762; 0.801961
73.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.766936; 0.801961
74.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.771224; 0.801961
75.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.769278; 0.801961
76.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.769295; 0.801961
77.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.767985; 0.801961
78.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.769295; 0.801961
79.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.765333; 0.801961
80.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.765855; 0.801961
81.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.769568; 0.801961
82.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.769404; 0.801961
83.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.772095; 0.801961
84.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.771605; 0.801961
85.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.770161; 0.801961
86.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.766975; 0.801961
87.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.768770; 0.801961
88.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.768447; 0.801961
89.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.773709; 0.801961
90.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.766325; 0.801961
91.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.768001; 0.801961
92.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.769362; 0.801961
93.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.772060; 0.801961
94.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.768516; 0.801961
95.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.773709; 0.801961
96.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.765898; 0.801961
97.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.768827; 0.801961
98.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.768827; 0.801961
99.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.774141; 0.801961
100.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.766866; 0.801961
101.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.770113; 0.801961
102.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.771513; 0.801961
103.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.766912; 0.801961
104.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.767702; 0.801961
105.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.000000; 0.801961
106.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.770348; 0.801961
107.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.767745; 0.801961
108.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.770856; 0.801961
109.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.771459; 0.801961
110.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.768004; 0.801961
111.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.772796; 0.801961
112.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.767414; 0.801961
113.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.771550; 0.801961
114.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.775824; 0.801961
115.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.767111; 0.801961
116.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.769070; 0.801961
117.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.767128; 0.801961
118.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.767898; 0.801961
119.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.766484; 0.801961
120.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.770373; 0.801961
121.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.771364; 0.801961
122.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.767028; 0.801961
123.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.769771; 0.801961
124.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.769483; 0.801961
125.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.773516; 0.801961
126.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.770736; 0.801961
127.000000; 0.198039; 0.801961; 0.801961; 0.801961; 0.773506; 0.801961
