Tiempo; best; promedio; cuartil3; max; min; quartil1;c ;ssim
3271.668125; 0.306946; 0.693054; 0.693054; 0.693054; 0.683674; 0.693054; 0.403615; 0.982492
2705.265660; 0.306946; 0.693054; 0.693054; 0.693054; 0.684047; 0.693054; 0.403615; 0.982492
4117.412800; 0.306946; 0.693054; 0.693054; 0.693054; 0.682772; 0.693054; 0.403615; 0.982492
3338.430781; 0.306946; 0.693054; 0.693054; 0.693054; 0.683519; 0.693054; 0.403615; 0.982492
4122.108213; 0.306946; 0.693054; 0.693054; 0.693054; 0.683323; 0.693054; 0.403615; 0.982492
4121.035337; 0.306946; 0.693054; 0.693054; 0.693054; 0.684383; 0.693054; 0.403615; 0.982492
2886.681065; 0.306946; 0.693054; 0.693054; 0.693054; 0.681794; 0.693054; 0.403615; 0.982492
3563.628833; 0.306946; 0.693054; 0.693054; 0.693054; 0.683157; 0.693054; 0.403615; 0.982492
3487.392755; 0.306991; 0.693009; 0.693009; 0.693009; 0.683207; 0.693009; 0.403631; 0.982388
3190.216040; 0.306946; 0.693054; 0.693054; 0.693054; 0.682390; 0.693054; 0.403615; 0.982492
