Tiempo; best; promedio; cuartil3; max; min; quartil1;c ;ssim
1223.301077; 0.190791; 0.809209; 0.809209; 0.809209; 0.798879; 0.809209; 0.627911; 0.990506
895.580732; 0.190098; 0.809902; 0.809902; 0.809902; 0.800613; 0.809902; 0.629366; 0.990439
857.147142; 0.192909; 0.807091; 0.807091; 0.807091; 0.800516; 0.807091; 0.629830; 0.984352
1311.820534; 0.190791; 0.809209; 0.809209; 0.809209; 0.799679; 0.809209; 0.627911; 0.990506
1106.877117; 0.190791; 0.809209; 0.809209; 0.809209; 0.799963; 0.809209; 0.627911; 0.990506
838.825396; 0.190098; 0.809902; 0.809902; 0.809902; 0.800887; 0.809902; 0.629366; 0.990439
843.103225; 0.190791; 0.809209; 0.809209; 0.809209; 0.800720; 0.809209; 0.627911; 0.990506
1312.028512; 0.190098; 0.809902; 0.809902; 0.809902; 0.801386; 0.809902; 0.629366; 0.990439
1027.507371; 0.190098; 0.809902; 0.809902; 0.809902; 0.799961; 0.809902; 0.629366; 0.990439
1048.802903; 0.192909; 0.807091; 0.807091; 0.807091; 0.800171; 0.807091; 0.629830; 0.984352
