Tiempo; best; promedio; cuartil3; max; min; quartil1;c ;ssim
4157,470284; 0,290450; 0,709550; 0,709550; 0,709550; 0,701015; 0,709550 ;0,427417 ;0,991684
2991,851778; 0,290450; 0,709550; 0,709550; 0,709550; 0,698811; 0,709550 ;0,427417 ;0,991684
2879,374094; 0,290450; 0,709550; 0,709550; 0,709550; 0,701833; 0,709550 ;0,427417 ;0,991684
3059,493411; 0,290450; 0,709550; 0,709550; 0,709550; 0,700994; 0,709550 ;0,427417 ;0,991684
4128,728500; 0,290450; 0,709550; 0,709550; 0,709550; 0,700973; 0,709550 ;0,427417 ;0,991684
3783,657816; 0,291540; 0,708460; 0,708460; 0,708460; 0,701829; 0,708460 ;0,427344 ;0,989576
3477,481831; 0,290450; 0,709550; 0,709550; 0,709550; 0,702328; 0,709550 ;0,427417 ;0,991684
4133,626534; 0,290450; 0,709550; 0,709550; 0,709550; 0,703788; 0,709550 ;0,427417 ;0,991684
4134,073366; 0,290450; 0,709550; 0,709550; 0,709550; 0,702589; 0,709550 ;0,427417 ;0,991684
2728,207781; 0,291540; 0,708460; 0,708460; 0,708460; 0,700401; 0,708460 ;0,427344 ;0,989576
