Generacion; best; promedio; cuartil3; max; min; quartil1
1.000000; 0.199455; 0.799264; 0.799728; 0.800545; 0.797968; 0.798925
2.000000; 0.198332; 0.799965; 0.800458; 0.801668; 0.799026; 0.799638
3.000000; 0.198332; 0.800545; 0.800758; 0.801668; 0.799430; 0.800335
4.000000; 0.198078; 0.800871; 0.801383; 0.801922; 0.799838; 0.800290
5.000000; 0.198078; 0.801405; 0.801668; 0.801922; 0.800856; 0.801169
6.000000; 0.197461; 0.801773; 0.801922; 0.802539; 0.800977; 0.801523
7.000000; 0.197028; 0.801922; 0.802131; 0.802972; 0.800635; 0.801726
8.000000; 0.197028; 0.802325; 0.802700; 0.802972; 0.801153; 0.802015
9.000000; 0.196979; 0.802739; 0.802972; 0.803021; 0.801697; 0.802539
10.000000; 0.196497; 0.802972; 0.802972; 0.803503; 0.802068; 0.802778
11.000000; 0.196497; 0.803226; 0.803503; 0.803503; 0.802136; 0.803021
12.000000; 0.196497; 0.803503; 0.803503; 0.803503; 0.800373; 0.803226
13.000000; 0.195947; 0.803503; 0.803503; 0.804053; 0.801235; 0.803503
14.000000; 0.195947; 0.803503; 0.803503; 0.804053; 0.803047; 0.803503
15.000000; 0.195079; 0.803514; 0.804053; 0.804921; 0.801676; 0.803503
16.000000; 0.194479; 0.804053; 0.804053; 0.805521; 0.801720; 0.803503
17.000000; 0.194479; 0.804070; 0.804921; 0.805521; 0.803289; 0.804053
18.000000; 0.194479; 0.805093; 0.805521; 0.805521; 0.802960; 0.804848
19.000000; 0.194249; 0.805521; 0.805521; 0.805751; 0.803323; 0.805521
20.000000; 0.194249; 0.805521; 0.805521; 0.805751; 0.802992; 0.805521
21.000000; 0.194199; 0.805521; 0.805680; 0.805801; 0.802854; 0.805521
22.000000; 0.194199; 0.805716; 0.805751; 0.805801; 0.803204; 0.805521
23.000000; 0.194199; 0.805751; 0.805751; 0.805801; 0.802304; 0.805751
24.000000; 0.194102; 0.805751; 0.805751; 0.805898; 0.804862; 0.805751
25.000000; 0.192582; 0.805776; 0.805801; 0.807418; 0.803593; 0.805751
26.000000; 0.189833; 0.805801; 0.807161; 0.810167; 0.803316; 0.805751
27.000000; 0.189784; 0.807161; 0.807161; 0.810216; 0.805300; 0.805898
28.000000; 0.189784; 0.807784; 0.810167; 0.810216; 0.803203; 0.806989
29.000000; 0.189784; 0.810191; 0.810216; 0.810216; 0.802360; 0.810167
30.000000; 0.189784; 0.810216; 0.810216; 0.810216; 0.804529; 0.810216
31.000000; 0.189784; 0.810216; 0.810216; 0.810216; 0.804313; 0.810216
32.000000; 0.186221; 0.810216; 0.810216; 0.813779; 0.804897; 0.810216
33.000000; 0.186221; 0.810216; 0.810216; 0.813779; 0.805688; 0.810216
34.000000; 0.183267; 0.810216; 0.810216; 0.816733; 0.805032; 0.810216
35.000000; 0.183267; 0.810216; 0.813779; 0.816733; 0.804244; 0.810216
36.000000; 0.183267; 0.813779; 0.816733; 0.816733; 0.803282; 0.810216
37.000000; 0.183267; 0.816733; 0.816733; 0.816733; 0.806354; 0.813779
38.000000; 0.183267; 0.816733; 0.816733; 0.816733; 0.807637; 0.816733
39.000000; 0.183267; 0.816733; 0.816733; 0.816733; 0.803786; 0.816733
40.000000; 0.183267; 0.816733; 0.816733; 0.816733; 0.805470; 0.816733
41.000000; 0.179465; 0.816733; 0.816733; 0.820535; 0.805920; 0.816733
42.000000; 0.179465; 0.816733; 0.816733; 0.820535; 0.807175; 0.816733
43.000000; 0.179465; 0.816733; 0.820535; 0.820535; 0.000000; 0.816733
44.000000; 0.179465; 0.820535; 0.820535; 0.820535; 0.804470; 0.820535
45.000000; 0.179465; 0.820535; 0.820535; 0.820535; 0.805843; 0.820535
46.000000; 0.179465; 0.820535; 0.820535; 0.820535; 0.805410; 0.820535
47.000000; 0.179465; 0.820535; 0.820535; 0.820535; 0.807250; 0.820535
48.000000; 0.179465; 0.820535; 0.820535; 0.820535; 0.807107; 0.820535
49.000000; 0.179465; 0.820535; 0.820535; 0.820535; 0.804370; 0.820535
50.000000; 0.179465; 0.820535; 0.820535; 0.820535; 0.806228; 0.820535
51.000000; 0.179465; 0.820535; 0.820535; 0.820535; 0.805929; 0.820535
52.000000; 0.179465; 0.820535; 0.820535; 0.820535; 0.804371; 0.820535
53.000000; 0.179465; 0.820535; 0.820535; 0.820535; 0.804397; 0.820535
54.000000; 0.179465; 0.820535; 0.820535; 0.820535; 0.000000; 0.820535
55.000000; 0.179465; 0.820535; 0.820535; 0.820535; 0.806099; 0.820535
56.000000; 0.179465; 0.820535; 0.820535; 0.820535; 0.806198; 0.820535
57.000000; 0.179465; 0.820535; 0.820535; 0.820535; 0.805914; 0.820535
58.000000; 0.179465; 0.820535; 0.820535; 0.820535; 0.807477; 0.820535
59.000000; 0.179465; 0.820535; 0.820535; 0.820535; 0.808997; 0.820535
60.000000; 0.179465; 0.820535; 0.820535; 0.820535; 0.804411; 0.820535
61.000000; 0.179465; 0.820535; 0.820535; 0.820535; 0.807804; 0.820535
62.000000; 0.179465; 0.820535; 0.820535; 0.820535; 0.805558; 0.820535
