Tiempo; best; promedio; cuartil3; max; min; quartil1;c ;ssim
1316.171159; 0.237132; 0.762868; 0.762868; 0.762868; 0.750978; 0.762868; 0.536082; 0.989653
1311.856718; 0.237132; 0.762868; 0.762868; 0.762868; 0.752178; 0.762868; 0.536082; 0.989653
1222.538628; 0.237132; 0.762868; 0.762868; 0.762868; 0.751141; 0.762868; 0.536082; 0.989653
1312.019338; 0.237132; 0.762868; 0.762868; 0.762868; 0.751782; 0.762868; 0.536082; 0.989653
1242.481242; 0.237132; 0.762868; 0.762868; 0.762868; 0.751873; 0.762868; 0.536082; 0.989653
1312.466022; 0.237132; 0.762868; 0.762868; 0.762868; 0.748398; 0.762868; 0.536082; 0.989653
1302.321101; 0.237132; 0.762868; 0.762868; 0.762868; 0.750990; 0.762868; 0.536082; 0.989653
1313.728879; 0.237132; 0.762868; 0.762868; 0.762868; 0.749070; 0.762868; 0.536082; 0.989653
1276.485087; 0.237132; 0.762868; 0.762868; 0.762868; 0.751932; 0.762868; 0.536082; 0.989653
848.993951; 0.237132; 0.762868; 0.762868; 0.762868; 0.749704; 0.762868; 0.536082; 0.989653
