Tiempo; best; promedio; cuartil3; max; min; quartil1;c ;ssim
405.096210; 0.327268; 0.672732; 0.672732; 0.672732; 0.656348; 0.672732; 0.463798; 0.881665
444.023715; 0.305677; 0.694323; 0.694323; 0.694323; 0.663616; 0.694323; 0.398419; 0.990226
427.174536; 0.325098; 0.674902; 0.674902; 0.674902; 0.660797; 0.674902; 0.459147; 0.890658
438.371654; 0.305677; 0.694323; 0.694323; 0.694323; 0.663542; 0.694323; 0.398419; 0.990226
423.921328; 0.328141; 0.671859; 0.671859; 0.671859; 0.655999; 0.671859; 0.465727; 0.877991
437.138583; 0.325098; 0.674902; 0.674902; 0.674902; 0.661331; 0.674902; 0.459147; 0.890658
451.316913; 0.305677; 0.694323; 0.694323; 0.694323; 0.663699; 0.694323; 0.398419; 0.990226
446.858745; 0.305677; 0.694323; 0.694323; 0.694323; 0.665561; 0.694323; 0.398419; 0.990226
503.129746; 0.305677; 0.694323; 0.694323; 0.694323; 0.662262; 0.694323; 0.398419; 0.990226
438.601408; 0.327598; 0.672402; 0.672402; 0.672402; 0.666041; 0.672402; 0.465318; 0.879487
