Tiempo; best; promedio; cuartil3; max; min; quartil1;c ;ssim
458.848617; 0.232272; 0.767728; 0.767728; 0.767728; 0.733364; 0.767728; 0.561552; 0.973903
561.371002; 0.232272; 0.767728; 0.767728; 0.767728; 0.726099; 0.767728; 0.561552; 0.973903
352.847183; 0.258451; 0.741549; 0.741549; 0.741549; 0.726155; 0.741549; 0.577561; 0.905537
386.512716; 0.232272; 0.767728; 0.767728; 0.767728; 0.726487; 0.767728; 0.561552; 0.973903
458.539555; 0.232272; 0.767728; 0.767728; 0.767728; 0.728911; 0.767728; 0.561552; 0.973903
476.540197; 0.232272; 0.767728; 0.767728; 0.767728; 0.729927; 0.767728; 0.561552; 0.973903
404.196915; 0.232272; 0.767728; 0.767728; 0.767728; 0.727667; 0.767728; 0.561552; 0.973903
544.484633; 0.232272; 0.767728; 0.767728; 0.767728; 0.724117; 0.767728; 0.561552; 0.973903
369.000152; 0.232272; 0.767728; 0.767728; 0.767728; 0.731780; 0.767728; 0.561552; 0.973903
474.440398; 0.232272; 0.767728; 0.767728; 0.767728; 0.730762; 0.767728; 0.561552; 0.973903
