Tiempo; best; promedio; cuartil3; max; min; quartil1;c ;ssim
2653.079036; 0.315338; 0.684662; 0.684662; 0.684662; 0.677725; 0.684662; 0.379832; 0.989493
3024.826648; 0.315338; 0.684662; 0.684662; 0.684662; 0.676907; 0.684662; 0.379832; 0.989493
2711.682005; 0.315338; 0.684662; 0.684662; 0.684662; 0.675637; 0.684662; 0.379832; 0.989493
4119.020687; 0.315338; 0.684662; 0.684662; 0.684662; 0.676843; 0.684662; 0.379832; 0.989493
4114.752512; 0.316456; 0.683544; 0.683544; 0.683544; 0.677887; 0.683544; 0.379646; 0.987443
3120.958135; 0.315338; 0.684662; 0.684662; 0.684662; 0.677806; 0.684662; 0.379832; 0.989493
3303.374581; 0.316456; 0.683544; 0.683544; 0.683544; 0.675298; 0.683544; 0.379646; 0.987443
4113.468139; 0.315338; 0.684662; 0.684662; 0.684662; 0.677304; 0.684662; 0.379832; 0.989493
4110.350366; 0.315338; 0.684662; 0.684662; 0.684662; 0.675102; 0.684662; 0.379832; 0.989493
4060.664188; 0.315338; 0.684662; 0.684662; 0.684662; 0.000000; 0.684662; 0.379832; 0.989493
