Generacion; best; promedio; cuartil3; max; min; quartil1
1.000000; 0.338176; 0.658581; 0.659907; 0.661824; 0.656421; 0.657901
2.000000; 0.337557; 0.660384; 0.660873; 0.662443; 0.658128; 0.659065
3.000000; 0.336986; 0.661701; 0.662237; 0.663014; 0.659384; 0.660429
4.000000; 0.336986; 0.662189; 0.662537; 0.663014; 0.659132; 0.661645
5.000000; 0.336806; 0.662629; 0.663014; 0.663194; 0.661648; 0.662537
6.000000; 0.336049; 0.663014; 0.663194; 0.663951; 0.661415; 0.662662
7.000000; 0.336049; 0.663194; 0.663573; 0.663951; 0.661393; 0.663093
8.000000; 0.335559; 0.663573; 0.663951; 0.664441; 0.661389; 0.663214
9.000000; 0.335559; 0.663951; 0.663951; 0.664441; 0.661932; 0.663681
10.000000; 0.335182; 0.663951; 0.664441; 0.664818; 0.663186; 0.663951
11.000000; 0.335182; 0.664441; 0.664441; 0.664818; 0.663098; 0.664024
12.000000; 0.334843; 0.664767; 0.664818; 0.665157; 0.662942; 0.664441
13.000000; 0.334032; 0.664818; 0.664818; 0.665968; 0.662291; 0.664818
14.000000; 0.333712; 0.664818; 0.665157; 0.666288; 0.663455; 0.664818
15.000000; 0.333672; 0.665157; 0.665968; 0.666328; 0.661717; 0.664818
16.000000; 0.332348; 0.666288; 0.666288; 0.667652; 0.665157; 0.665968
17.000000; 0.332348; 0.666288; 0.666567; 0.667652; 0.664347; 0.666288
18.000000; 0.332348; 0.666567; 0.666567; 0.667652; 0.664492; 0.666328
19.000000; 0.332004; 0.667652; 0.667652; 0.667996; 0.664412; 0.666567
20.000000; 0.331262; 0.667652; 0.667996; 0.668738; 0.665243; 0.667652
21.000000; 0.331262; 0.667996; 0.667996; 0.668738; 0.665077; 0.667996
22.000000; 0.330615; 0.668423; 0.668738; 0.669385; 0.664215; 0.668087
23.000000; 0.330006; 0.668738; 0.669342; 0.669994; 0.667543; 0.668738
24.000000; 0.328838; 0.669364; 0.669385; 0.671162; 0.664648; 0.668738
25.000000; 0.328608; 0.669994; 0.670682; 0.671392; 0.666636; 0.669385
26.000000; 0.328608; 0.670660; 0.671162; 0.671392; 0.665281; 0.669553
27.000000; 0.327490; 0.671162; 0.671392; 0.672510; 0.666280; 0.670221
28.000000; 0.327490; 0.671392; 0.671392; 0.672510; 0.665491; 0.670221
29.000000; 0.327229; 0.671525; 0.672510; 0.672771; 0.664143; 0.671162
30.000000; 0.327229; 0.672510; 0.672510; 0.672771; 0.667851; 0.672510
31.000000; 0.327229; 0.672510; 0.672771; 0.672771; 0.666149; 0.672510
32.000000; 0.327229; 0.672771; 0.672771; 0.672771; 0.668738; 0.672510
33.000000; 0.327229; 0.672771; 0.672771; 0.672771; 0.665030; 0.672771
34.000000; 0.327229; 0.672771; 0.672771; 0.672771; 0.665728; 0.672771
35.000000; 0.327229; 0.672771; 0.672771; 0.672771; 0.664270; 0.672771
36.000000; 0.327229; 0.672771; 0.672771; 0.672771; 0.668297; 0.672771
37.000000; 0.322479; 0.672771; 0.672771; 0.677521; 0.667862; 0.672771
38.000000; 0.322479; 0.672771; 0.672771; 0.677521; 0.668767; 0.672771
39.000000; 0.322479; 0.672771; 0.677521; 0.677521; 0.666271; 0.672771
40.000000; 0.322479; 0.677521; 0.677521; 0.677521; 0.669065; 0.673929
41.000000; 0.322051; 0.677521; 0.677521; 0.677949; 0.666848; 0.677521
42.000000; 0.322051; 0.677521; 0.677521; 0.677949; 0.671256; 0.677521
43.000000; 0.322051; 0.677521; 0.677949; 0.677949; 0.667795; 0.677521
44.000000; 0.322051; 0.677949; 0.677949; 0.677949; 0.667189; 0.677949
45.000000; 0.322051; 0.677949; 0.677949; 0.677949; 0.666774; 0.677949
46.000000; 0.322051; 0.677949; 0.677949; 0.677949; 0.670948; 0.677949
47.000000; 0.322051; 0.677949; 0.677949; 0.677949; 0.672729; 0.677949
48.000000; 0.322051; 0.677949; 0.677949; 0.677949; 0.668315; 0.677949
49.000000; 0.322051; 0.677949; 0.677949; 0.677949; 0.668152; 0.677949
50.000000; 0.322051; 0.677949; 0.677949; 0.677949; 0.671993; 0.677949
51.000000; 0.321578; 0.677949; 0.677949; 0.678422; 0.667469; 0.677949
52.000000; 0.321578; 0.677949; 0.677949; 0.678422; 0.671217; 0.677949
53.000000; 0.321578; 0.677949; 0.678422; 0.678422; 0.670787; 0.677949
54.000000; 0.301839; 0.678422; 0.678422; 0.698161; 0.665277; 0.677949
55.000000; 0.301839; 0.678422; 0.678422; 0.698161; 0.668708; 0.678422
56.000000; 0.301839; 0.678422; 0.698161; 0.698161; 0.667074; 0.678422
57.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.669545; 0.698161
58.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.664757; 0.698161
59.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.666742; 0.698161
60.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.661885; 0.698161
61.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.666830; 0.698161
62.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.667061; 0.698161
63.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.666001; 0.698161
64.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.665464; 0.698161
65.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.665857; 0.698161
66.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.665349; 0.698161
67.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.669411; 0.698161
68.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.000000; 0.698161
69.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.661269; 0.698161
70.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.665976; 0.698161
71.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.669994; 0.698161
72.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.669481; 0.698161
73.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.665255; 0.698161
74.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.663281; 0.698161
75.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.668665; 0.698161
76.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.666678; 0.698161
77.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.666747; 0.698161
78.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.664257; 0.698161
79.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.664984; 0.698161
80.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.663336; 0.698161
81.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.668308; 0.698161
82.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.667833; 0.698161
83.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.664260; 0.698161
84.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.668302; 0.698161
85.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.666423; 0.698161
86.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.663408; 0.698161
87.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.664617; 0.698161
88.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.663307; 0.698161
89.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.667672; 0.698161
90.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.669017; 0.698161
91.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.665526; 0.698161
92.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.000000; 0.698161
93.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.662603; 0.698161
94.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.660982; 0.698161
95.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.669406; 0.698161
96.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.669282; 0.698161
97.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.670890; 0.698161
98.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.665392; 0.698161
99.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.667370; 0.698161
100.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.673823; 0.698161
101.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.667562; 0.698161
102.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.666329; 0.698161
103.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.666963; 0.698161
104.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.669764; 0.698161
105.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.668176; 0.698161
106.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.667798; 0.698161
107.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.672432; 0.698161
108.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.667216; 0.698161
109.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.666373; 0.698161
110.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.665500; 0.698161
111.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.667261; 0.698161
112.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.671364; 0.698161
113.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.667496; 0.698161
114.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.667715; 0.698161
115.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.665151; 0.698161
116.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.666468; 0.698161
117.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.666646; 0.698161
118.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.668417; 0.698161
119.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.666701; 0.698161
120.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.666316; 0.698161
121.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.665154; 0.698161
122.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.669851; 0.698161
123.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.666800; 0.698161
124.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.666822; 0.698161
125.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.669017; 0.698161
126.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.665646; 0.698161
127.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.665293; 0.698161
128.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.667331; 0.698161
129.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.672850; 0.698161
130.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.667720; 0.698161
131.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.668777; 0.698161
132.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.665394; 0.698161
133.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.664482; 0.698161
134.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.666682; 0.698161
135.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.664190; 0.698161
136.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.668171; 0.698161
137.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.671628; 0.698161
138.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.663557; 0.698161
139.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.000000; 0.698161
140.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.668515; 0.698161
141.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.670429; 0.698161
142.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.664176; 0.698161
143.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.664290; 0.698161
144.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.664873; 0.698161
145.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.671602; 0.698161
146.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.667623; 0.698161
147.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.670185; 0.698161
148.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.665328; 0.698161
149.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.663307; 0.698161
150.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.664337; 0.698161
151.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.668981; 0.698161
152.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.672678; 0.698161
153.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.670685; 0.698161
154.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.671602; 0.698161
155.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.667194; 0.698161
156.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.000000; 0.698161
157.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.670606; 0.698161
158.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.663810; 0.698161
159.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.663880; 0.698161
160.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.662730; 0.698161
161.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.666329; 0.698161
162.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.670127; 0.698161
163.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.665408; 0.698161
164.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.668665; 0.698161
165.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.664946; 0.698161
166.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.663754; 0.698161
167.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.668585; 0.698161
168.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.667720; 0.698161
169.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.665751; 0.698161
170.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.663905; 0.698161
171.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.667135; 0.698161
172.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.662060; 0.698161
173.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.665255; 0.698161
174.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.669846; 0.698161
175.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.664584; 0.698161
176.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.000000; 0.698161
177.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.667290; 0.698161
178.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.667613; 0.698161
179.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.665157; 0.698161
180.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.663123; 0.698161
181.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.669106; 0.698161
182.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.666106; 0.698161
183.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.665832; 0.698161
184.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.671009; 0.698161
185.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.667229; 0.698161
186.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.663633; 0.698161
187.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.665349; 0.698161
188.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.670359; 0.698161
189.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.667940; 0.698161
190.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.667427; 0.698161
191.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.664230; 0.698161
192.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.666371; 0.698161
193.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.000000; 0.698161
194.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.668560; 0.698161
195.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.668722; 0.698161
196.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.665760; 0.698161
197.000000; 0.301839; 0.698161; 0.698161; 0.698161; 0.664466; 0.698161
