Tiempo; best; promedio; cuartil3; max; min; quartil1;c ;ssim
2648.676302; 0.326132; 0.673868; 0.673868; 0.673868; 0.667532; 0.673868; 0.355434; 0.992301
2897.560357; 0.326132; 0.673868; 0.673868; 0.673868; 0.670347; 0.673868; 0.355434; 0.992301
3579.738635; 0.326132; 0.673868; 0.673868; 0.673868; 0.666837; 0.673868; 0.355434; 0.992301
4118.578153; 0.326726; 0.673274; 0.673274; 0.673274; 0.668843; 0.673274; 0.355466; 0.991083
2683.930332; 0.326132; 0.673868; 0.673868; 0.673868; 0.668243; 0.673868; 0.355434; 0.992301
3624.270408; 0.326726; 0.673274; 0.673274; 0.673274; 0.670111; 0.673274; 0.355466; 0.991083
3088.816380; 0.326726; 0.673274; 0.673274; 0.673274; 0.668009; 0.673274; 0.355466; 0.991083
4121.083219; 0.326726; 0.673274; 0.673274; 0.673274; 0.000000; 0.673274; 0.355466; 0.991083
2720.942979; 0.326132; 0.673868; 0.673868; 0.673868; 0.667452; 0.673868; 0.355434; 0.992301
4120.903757; 0.326132; 0.673868; 0.673868; 0.673868; 0.668775; 0.673868; 0.355434; 0.992301
