Generacion; best; promedio; cuartil3; max; min; quartil1
1.000000; 0.339563; 0.657972; 0.658320; 0.660437; 0.655908; 0.657376
2.000000; 0.337297; 0.659079; 0.660124; 0.662703; 0.656468; 0.658261
3.000000; 0.337297; 0.660491; 0.660879; 0.662703; 0.657836; 0.660328
4.000000; 0.337293; 0.661061; 0.662475; 0.662707; 0.659289; 0.660545
5.000000; 0.336116; 0.662703; 0.662707; 0.663884; 0.659471; 0.661400
6.000000; 0.335372; 0.662707; 0.663337; 0.664628; 0.661252; 0.662703
7.000000; 0.335372; 0.663841; 0.663884; 0.664628; 0.660088; 0.662707
8.000000; 0.335262; 0.663884; 0.664628; 0.664738; 0.661820; 0.663884
9.000000; 0.335262; 0.664628; 0.664628; 0.664738; 0.661562; 0.664551
10.000000; 0.334873; 0.664628; 0.664738; 0.665127; 0.662813; 0.664628
11.000000; 0.334420; 0.664738; 0.664738; 0.665580; 0.661900; 0.664628
12.000000; 0.333395; 0.665007; 0.665580; 0.666605; 0.663227; 0.664738
13.000000; 0.333395; 0.665580; 0.666266; 0.666605; 0.662030; 0.664999
14.000000; 0.333084; 0.666266; 0.666605; 0.666916; 0.661507; 0.665580
15.000000; 0.333084; 0.666605; 0.666605; 0.666916; 0.663182; 0.666266
16.000000; 0.331491; 0.666761; 0.666916; 0.668509; 0.661101; 0.666605
17.000000; 0.331491; 0.666916; 0.666916; 0.668509; 0.662552; 0.666800
18.000000; 0.331491; 0.666916; 0.667244; 0.668509; 0.663814; 0.666916
19.000000; 0.330759; 0.668058; 0.668509; 0.669241; 0.664340; 0.666916
20.000000; 0.330759; 0.668509; 0.668509; 0.669241; 0.665970; 0.668509
21.000000; 0.329977; 0.668509; 0.669241; 0.670023; 0.665358; 0.668509
22.000000; 0.329963; 0.669241; 0.669241; 0.670037; 0.667546; 0.668509
23.000000; 0.328967; 0.669241; 0.670023; 0.671033; 0.665886; 0.669241
24.000000; 0.327429; 0.670030; 0.670037; 0.672571; 0.664771; 0.669241
25.000000; 0.327429; 0.671033; 0.671227; 0.672571; 0.668295; 0.670037
26.000000; 0.326453; 0.672571; 0.672571; 0.673547; 0.666181; 0.671033
27.000000; 0.324922; 0.672571; 0.673308; 0.675078; 0.663104; 0.672571
28.000000; 0.324042; 0.673308; 0.675078; 0.675958; 0.663852; 0.672571
29.000000; 0.324042; 0.675078; 0.675078; 0.675958; 0.668065; 0.673308
30.000000; 0.323748; 0.675078; 0.675958; 0.676252; 0.670544; 0.675078
31.000000; 0.322827; 0.675958; 0.675958; 0.677173; 0.669349; 0.675078
32.000000; 0.322827; 0.675958; 0.676252; 0.677173; 0.669582; 0.675958
33.000000; 0.322827; 0.676252; 0.677173; 0.677173; 0.668142; 0.675958
34.000000; 0.322827; 0.677173; 0.677173; 0.677173; 0.667457; 0.676389
35.000000; 0.322827; 0.677173; 0.677173; 0.677173; 0.666211; 0.677173
36.000000; 0.322827; 0.677173; 0.677173; 0.677173; 0.669652; 0.677173
37.000000; 0.322827; 0.677173; 0.677173; 0.677173; 0.669749; 0.677173
38.000000; 0.322266; 0.677173; 0.677173; 0.677734; 0.669945; 0.677173
39.000000; 0.322266; 0.677173; 0.677173; 0.677734; 0.667031; 0.675731
40.000000; 0.322266; 0.677173; 0.677173; 0.677734; 0.669023; 0.677173
41.000000; 0.320454; 0.677173; 0.677173; 0.679546; 0.670016; 0.677173
42.000000; 0.319520; 0.677734; 0.677734; 0.680480; 0.671480; 0.677173
43.000000; 0.319520; 0.679546; 0.679546; 0.680480; 0.672323; 0.677734
44.000000; 0.319520; 0.679546; 0.680480; 0.680480; 0.669368; 0.679546
45.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.671112; 0.679546
46.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.670049; 0.680480
47.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.668046; 0.680480
48.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.668040; 0.680480
49.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.668836; 0.676930
50.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.664747; 0.676026
51.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.668038; 0.680480
52.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.000000; 0.680480
53.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.668542; 0.680480
54.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.671744; 0.680480
55.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.666231; 0.680480
56.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.667862; 0.680480
57.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.666395; 0.680480
58.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.667569; 0.680480
59.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.668412; 0.680480
60.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.673043; 0.680480
61.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.667213; 0.680480
62.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.669087; 0.680480
63.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.673426; 0.680480
64.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.668387; 0.680480
65.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.669678; 0.680480
66.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.668668; 0.680480
67.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.667112; 0.680480
68.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.671744; 0.680480
69.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.668244; 0.680480
70.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.662832; 0.680480
71.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.000000; 0.680480
72.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.669290; 0.680480
73.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.666982; 0.678752
74.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.668074; 0.680480
75.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.668162; 0.680480
76.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.667196; 0.680480
77.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.662840; 0.680480
78.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.000000; 0.680480
79.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.665945; 0.680480
80.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.665695; 0.680480
81.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.668887; 0.680480
82.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.668718; 0.680480
83.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.670372; 0.680480
84.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.668629; 0.680480
85.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.670934; 0.680480
86.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.668436; 0.680480
87.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.670206; 0.680480
88.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.667346; 0.680480
89.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.667643; 0.680480
90.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.671006; 0.680480
91.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.669520; 0.680480
92.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.667436; 0.680480
93.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.671553; 0.680480
94.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.665901; 0.680480
95.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.668162; 0.680480
96.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.673101; 0.680480
97.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.666943; 0.680480
98.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.668162; 0.680480
99.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.670003; 0.680480
100.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.670893; 0.680480
101.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.668162; 0.680480
102.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.670996; 0.680480
103.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.667889; 0.680480
104.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.672286; 0.680480
105.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.670096; 0.680480
106.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.668428; 0.680480
107.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.668220; 0.680480
108.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.668162; 0.680480
109.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.673983; 0.680480
110.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.673101; 0.680480
111.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.669520; 0.680480
112.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.672722; 0.680480
113.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.671501; 0.680480
114.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.667422; 0.680480
115.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.666030; 0.680480
116.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.667448; 0.680480
117.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.672587; 0.680480
118.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.670738; 0.680480
119.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.668878; 0.680480
120.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.670764; 0.680480
121.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.670116; 0.680480
122.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.669290; 0.680480
123.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.671681; 0.680480
124.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.668412; 0.680480
125.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.669712; 0.680480
126.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.670172; 0.680480
127.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.665454; 0.680480
128.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.671010; 0.680480
129.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.667153; 0.680480
130.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.669643; 0.680480
131.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.669857; 0.680480
132.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.669452; 0.680480
133.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.669465; 0.680480
134.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.674500; 0.680480
135.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.669675; 0.680480
136.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.664730; 0.680480
137.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.670018; 0.680480
138.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.669607; 0.680480
139.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.668162; 0.680480
140.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.669589; 0.680480
141.000000; 0.319520; 0.680480; 0.680480; 0.680480; 0.667436; 0.680480
